Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2012,22,DCNS,"Patrick Boissier, Chairman and CEO",France,3647,3318.7,10,3647,100
2012,23,Mitsubishi Heavy Industries,"Hideaki Omiya, President and CEO",Japan,3610,3039.4,19,35261.3,10.2
2012,24,URS,"Martin Koffel, CEO",U.S.,3595.6,3736.1,-4,9545,37.7
2012,25,Almaz-Antei,"Vladislav Menshikov, director",Russia,3552,3940.5,-10,4188.7,84.8
2012,26,Safran,"Jean-Paul Herteman, Chairman and CEO",France,3267.3,3142.4,4,16336.5,20
2012,27,Saab,"HÃ¥kan Buskhe, CEO",Sweden,3258.9,3100,5,3626.7,89.9
2012,28,ATK8,"Mark DeYoung, President and CEO",U.S.,3250,2730,19,4618.4,70.4
2012,29,Harris,"William Brown, President and CEO",U.S.,2984.7,2622.3,14,5924.6,50.4
2012,30,Rheinmetall,"Klaus Eberhardt, CEO",Germany,2980.3,2664.2,12,6200,48.1
2012,31,CACI Inter-tio-l,"Paul Cofoni, President and CEO",U.S.,2858.7,2450.5,17,3577.8,79.9
2012,32,Babcock Inter-tio-l,"Peter Rogers, CEO",U.K.,2856.1,2087.1,37,4924.3,58
2012,33,Rockwell Collins,"Clay Jones, Chairman, President and CEO",U.S.,2813,2900,-3,4806,58.5
2012,34,DynCorp,"Steven Gaffney, Chairman and CEO",U.S.,2776.1,2623.8,6,3721.5,74.6
2012,35,Mantech,"George Pederson, Chairman and CEO",U.S.,2772.4,2494.7,11,2870,96.6
2012,36,Hindustan Aero-utics,"Ravindra K. Tyagi, Chairman",India,2769.6,2277,22,2996.2,92.4
2012,37,Fluor,"David Seaton, Chairman and CEO",U.S.,2735.5,1884.2,45,23381.4,11.7
2012,38,Elbit Systems,"Joseph Ackerman, President and CEO",Israel,2676.6,2536.6,6,2817.5,95
2012,39,Russian Helicopters,"Dmitry Petrov, Director",Russia,2644.3,1905.4,39,3416.4,77.4
2012,40,Kawasaki Heavy Industries,"Satoshi Hasegawa, President",Japan,2623.8,1042.7,152,16297.2,16.1
2012,41,Israel Aerospace Industries,"Itzhak Nissan, President and CEO",Israel,2508,2380,5,3436,73
2012,42,Aviation Holding Co. Sukhoi1,"Mikhail Pogosyan, Director",Russia,2479.5,1404.2,77,2610,95
2012,43,Goodrich,"Marshall Larsen, Chairman, President and CEO",U.S.,2424,2201,10,8075,30
2012,44,Bechtel,"David Walker, President",U.S.,2400,2200,9,32900,7.3
2012,45,Hewlett-Packard,"LÃ©o Apotheker, President and CEO",U.S.,2235.9,971.9,130,127200,1.8
2012,47,#NAME?,"Daniel Ustian, Chairman, Preisdent and CEO",U.S.,2000,2151,-7,13958,14.3
2012,48,Rafael Advanced Defense Systems,"Yedidia Yaari, President and CEO",Israel,1979,1844.8,7,1979,100
2012,49,ST Engineering,"Tan Pheng Hock, President and CEO",Singapore,1955.2,1800.9,9,4768.7,41
2012,50,Serco,"Christopher Hyman, CEO",U.K.,1900,1669.5,14,7285.6,26.1
2012,51,Cobham,"Andy Stevens, CEO",U.K.,1894.4,1998.7,-5,2974.5,63.7
2012,52,QinetiQ,"Leo Quinn, CEO",U.K.,1579.3,1921.3,-18,2357.2,67
2012,53,Kongsberg,"Walter Qvam, CEO",Norway,1444.3,1499.8,-4,2704.1,53.4
2012,54,Mitsubishi Electric,"Kenichiro Yamanishi, President and CEO",Japan,1441.3,1187.7,21,45492.5,3.2
2012,55,NEC,"Nobuhiro Endo, President (Representative Director)",Japan,1438.8,1008.8,43,37960,3.8
2012,56,GKN,"Marcus Bryson, CEO",U.K.,1371.4,1054.2,30,2375.5,57.7
2012,57,Krauss-Maffei Wegmann,"Frank Haun, President and CEO",Germany,1308.5,1194.7,10,1308.5,100
2012,58,Irkut,"Alexei Fyodorov, President",Russia,1286.2,1400,-8,1626,79.1
2012,59,United Enginebuilding,"Andrei Reus, Director",Russia,1245.9,1243.7,0,3116.7,40
2012,60,Dassault Aviation,"Charles Edelstenne, CEO",France,1238.9,1273,-3,4600.6,26.9
2012,61,Nexter,"Philippe Burtin, Chairman and CEO",France,1184.6,1428.4,-17,1184.6,100
2012,62,Chemring,"David Price, CEO",U.K.,1156,901.1,28,1191.8,97
2012,63,Samsung Techwin,"Cheol Kyo Kim, CEO",South Korea,1092,1032,6,2684.5,40.7
2012,64,Fincantieri,"Giuseppe Bono, CEO",Italy,1085.9,943,15,3315.7,32.8
2012,65,Jacobs Engineering,"Craig Martin, President and CEO",U.S.,1036.3,1053.1,-2,10381.7,10
2012,66,AAR,"David Storch, Chairman and CEO",U.S.,962,942.4,2,1989.5,48.4
2012,67,Ultra Electronics,"Rakesh Sharma, CEO",U.K.,961.5,878,10,1172.5,82
2012,68,Diehl Stiftung,"Thomas Diehl, President and CEO",Germany,946.6,963.7,-2,3793.3,25
2012,69,Bharat Electronics,"Anil Kumar, Chairman and Ma-ging Director",India,943.1,997.7,-5,1220.4,77.3
2012,70,Meggitt,"Terry Twigger, CEO",U.K.,938.8,789,19,2334.3,40.2
2012,71,CAE,"Marc Parent, President and CEO",Canada,904.5,850.9,6,1842.9,49.1
2012,72,Korea Aerospace Industries,"Kim Hong Kyung, President and CEO",South Korea,898.2,854.3,5,1169.9,76.8
2012,73,Cubic,"Walter Zable, Chairman, President and CEO",U.S.,869,805.1,8,1285,67.6
2012,74,Embraer,"Frederico Fleury Curado, President and CEO",Brazil,866.8,671.3,29,5914.8,14.7
2012,75,Moog,"John Scannell, CEO",U.S.,855,837,2,2331,36.7
2012,76,Aselsan,"Cengiz Ergeneman, General Ma-ger",Turkey,848.4,762.2,11,899.6,94.3
2012,77,Ruag,"Ko-ad Peter, Executive Chairman",Switzerland,844.7,810.2,4,2012,42
2012,78,Wyle,"George Melton, Chairman, CEO and President",U.S.,829,563.5,47,1148.5,72.2
2012,79,LIG Nex,"Hyo Koo-Lee, CEO",South Korea,823.5,811,2,823.5,100
2012,80,Curtiss-Wright,"Martin Be-nte, Chairman and CEO",U.S.,819.9,784,5,2017.6,40.6
2012,81,Patria,"Heikki Allonen, CEO",Finland,779.5,658.4,18,861.6,90.5
2012,82,Accenture,"Pierre -nterme, CEO",Ireland,758,725,5,25500,3
2012,83,Turkish Aerospace Industries,"Muharrem DÃ¶rtkasli, President",Turkey,737.8,445,66,848.7,86.9
2012,84,Alion Science and Technology,"Bahman Atefi, Chairman and CEO",U.S.,726.1,771.8,-6,787.3,92.2
2012,85,Battelle,"Jeffrey Wadsworth, President and CEO",U.S.,718.9,753.2,-5,6300,11.4
2012,86,Mission Essential,"Marc Peltier, President",U.S.,718.2,622.7,15,725.5,99
2012,87,RTI,"Sergei Boev, Director",Russia,718.1,449,60,2093,34.3
2012,88,FLIR,"Earl Lewis, Chairman and CEO",U.S.,712.3,706,1,1544.1,46.1
2012,89,Indra,"Javier MonzÃ³n, Chairman",Spain,709.7,788.4,-10,3742.4,19
2012,90,RSK MiG,"Sergei Korotkov, Director",Russia,700,300,133,700,100
2012,91,Teledyne Technologies,"Robert Mehrabian, Chairman, President and CEO",U.S.,694.4,727.4,-5,1941.9,35.8
2012,92,Fujitsu,"Masami Yamamoto, President",Japan,661.3,503.8,31,55843.8,1.2
2012,93,Toshiba,"Norio Sasaki, Director, President and CEO",Japan,630,209,201,76253.8,0.8
2012,94,SRA Inter-tio-l,"William Ballhaus, President and CEO",U.S.,567,661,-14,1705,33.3
2012,95,#NAME?,"Edgar Fossheim, CEO",Norway,565.7,570.9,-1,565.7,100
2012,96,SRC,"Paul Tremont, President",U.S.,556.3,691,-19,572.1,97.2
2012,97,ARINC,"John Belcher, Chairman and CEO",U.S.,495.1,649.8,-24,931.4,53.2
2012,98,Ball Aerospace & Technologies,"David Taylor, President and CEO",U.S.,491.2,416.6,18,784,62.7
2012,99,Day & Zimmermann,"Harold Yoh, Chairman and CEO",U.S.,489.6,647.7,-24,2728.2,17.9
2012,100,Israel Military Industries,"Avi Felder, President and CEO",Israel,485.9,508.6,-4,485.9,100
2011,1,Lockheed Martin,"Robert Stevens, Chairman and CEO",U.S.,42800,42025.7,2,45800,93.4
2011,2,BAE Systems,"Ian King, CEO",U.K.,33109.5,33418.8,-1,34613.6,95.7
2011,3,Northrop Grumman,"Wes Bush, Chairman, President and CEO",U.S.,31181,30656.9,2,34757,89.7
2011,4,Boeing,"W. James McNerney, Chairman, President and CEO",U.S.,30858,31932,-3,64306,48
2011,5,General Dy-mics,"Jay Johnson, Chairman and CEO",U.S.,26622,25904.6,3,32466,82
2011,6,Raytheon,"William Swanson, Chairman and CEO",U.S.,23420.2,23139.3,1,25183,93
2011,7,EADS,"Louis Gallois, CEO",Netherlands,16286.7,15013.7,8,60734.4,26.8
2011,8,Finmeccanica,"Giuseppe Orsi, CEO",Italy,14442.9,13332.1,8,24817.1,58.2
2011,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",U.S.,13074,13014,0,15680,83.4
2011,10,United Technologies,"Louis Chenevert, President and CEO",U.S.,11600,11100,5,54326,21.4
2011,11,Thales,"Luc Vigneron, Chairman and CEO",France,9956,10456.7,-5,17389.9,57.3
2011,12,SAIC,"Walt Havenstein, CEO",U.S.,8677,8400,3,11117,78.1
2011,13,Oshkosh,"Charles Szews, President and CEO",U.S.,7161.7,2594.8,176,9842.4,72.8
2011,14,ITT,"Steven Loranger, Chairman, President and CEO",U.S.,5484,5698,-4,10995,49.9
2011,15,Honeywell,"David Cote, Chairman and CEO",U.S.,5400,5382,0,33370,16.2
2011,16,Booz Allen Hamilton,"Ralph Shrader, Chairman, President and CEO",U.S.,4662,4299,8,5600,83.3
2011,17,CSC,"Michael Laphen, Chairman, President and CEO",U.S.,4498,4203.3,7,16000,28.1
2011,18,Rolls-Royce,"John Rishton, CEO",U.K.,4483.3,3146.9,42,16796.7,26.7
2011,19,GE,"Jeffrey Immelt, Chairman and CEO",U.S.,4100,4200,-2,150211,2.7
2011,20,Textron,"Scott Donnelly, Chairman and CEO",U.S.,3999.5,3300,21,10525,38
2011,21,Almaz-Antei,"Vladislav Menshikov, Director",Russia,3940.5,3263,21,4427.6,89
2011,22,URS,"Martin Koffel, CEO",U.S.,3736.1,3483.3,7,9177.1,40.7
2011,23,KBR,"William Utt, Chairman, President and CEO",U.S.,3563.8,5410.2,-34,10099,35.3
2011,24,DCNS,"Patrick Boissier, Chairman and CEO",France,3318.7,3355,-1,3318.7,100
2011,25,Safran,"Jean-Paul Herteman, Chairman and CEO",France,3142.4,3067.7,2,14283.6,22
2011,26,Mitsubishi Heavy Industries,"Hideaki Omiya, President and Director",Japan,3039.4,2833.1,7,35016.2,8.7
2011,27,Rockwell Collins,"Clay Jones, Chairman, President and CEO",U.S.,2900,2579,12,4700,61.7
2011,28,Saab,"Hâ€NAkan Buskhe, CEO",Sweden,2887.4,2594.5,11,3397.1,85
2011,29,ATK,"Mark DeYoung, President and CEO",U.S.,2730,2740,0,4842.3,56.4
2011,30,Rheinmetall,"Klaus Eberhardt, CEO",Germany,2664.2,2646.6,1,5295.3,50.3
2011,31,DynCorp,"Steven Gaffney, Chairman, President and CEO",U.S.,2623.8,2381.9,10,3696.2,71
2011,32,Harris,"Howard Lance,Chairman, President and CEO",U.S.,2622.3,2686.7,-2,5206.1,50.4
2011,33,Elbit Systems,"Joseph Ackerman, President and CEO",Israel,2536.6,2690.8,-6,2670.1,95
2011,34,Mantech,"George Pederson, Chairman and CEO",U.S.,2494.7,1919.3,30,2604,95.8
2011,35,CACI Inter-tio-l,"Paul Cofoni, President and CEO",U.S.,2450.5,2078.3,18,3149.1,77.8
2011,36,Israel Aerospace Industries,"Itzhak Nissan, President and CEO",Israel,2380,2234,7,3148,75.6
2011,37,Hindustan Aero-utics,"Ashok -yak, Chairman",India,2267.7,1999.5,13,2496.4,90.8
2011,38,Goodrich,"Marshall Larsen, Chairman, President and CEO",U.S.,2201,2005.8,10,6967,31.6
2011,39,Bechtel,"Riley Bechtel, Chairman and CEO",U.S.,2200,2100,5,27900,7.9
2011,40,#NAME?,"Daniel Ustian, Chairman, Preisdent and CEO",U.S.,2151,2885,-25,12145,17.7
2011,41,Babcock Inter-tio-l,"Peter Rogers, CEO",U.K.,2087.8,2138.7,-2,2948.7,70.8
2011,42,Cobham,"Andy Stevens, CEO",U.K.,1998.7,2266.4,-12,2941,68
2011,43,QinetiQ,"Leo Quinn, CEO",U.K.,1921.3,1795.4,7,2631.9,73
2011,44,Russian Helicopters,"Dmitry Petrov, Director",Russia,1905.4,813.8,134,2672.3,71.3
2011,45,Fluor,"David Seaton, CEO",U.S.,1884.2,871.5,116,20849,9
2011,46,Rafael Advanced Defense Systems,"Yedidia Yaari, President and CEO",Israel,1844.8,1607,15,1844.8,100
2011,48,ST Engineering,"Tan Pheng Hock, President and CEO",Singapore,1800.9,1451.3,24,4392.4,41
2011,49,Serco,"Christopher Hyman, CEO",U.K.,1669.5,1597,5,6677.9,25
2011,50,Kongsberg,"Walter Qvam, CEO",Norway,1499.8,1059.8,42,2565.7,58.5
2011,51,Nexter,"Philippe Burtin, Chairman and CEO",France,1428.4,1236.9,15,1428.4,100
2011,52,Aviation Holding Co. Sukhoi,"Mikhail Pogosyan, Director",Russia,1404.2,1522,-8,1462.7,96
2011,53,Irkut,"Alexei Fyodorov, President",Russia,1400,1103.7,27,1673,83.7
2011,54,Dassault Aviation,"Charles Edelstenne, CEO",France,1273,1366.5,-7,5558.1,22.9
2011,55,United Engine,"Andrei Reus, Director",Russia,1243.7,713.4,74,2799.6,44.4
2011,56,Krauss-Maffei Wegmann,"Manfred Bode, Chairman and CEO",Germany,1194.7,1722.1,-31,1194.7,100
2011,57,Mitsubishi Electric,"Kenichiro Yamanishi, President and CEO",Japan,1187.7,1968.8,-40,42613.9,2.8
2011,58,GKN,"Marcus Bryson, CEO",U.K.,1054.2,1052.1,0,2243,47
2011,59,Jacobs Engineering,"Craig Martin, President and CEO",U.S.,1053.1,971.7,8,9900,10.6
2011,60,Kawasaki Heavy Industries,"Satoshi Hasegawa, President (Representative Director)",Japan,1042.7,1123.9,-7,14343,7.3
2011,61,Samsung Techwin,"Cheol Kyo Kim, CEO",South Korea,1032,1374,-25,2752,37.5
2011,62,Tactical Missiles,"Boris Obnosov, Director",Russia,1028.7,910.9,13,1118.1,92
2011,63,NEC,"Nobuhiro Endo, President (Representative Director)",Japan,1008.8,778.6,30,36414.4,2.8
2011,64,Bharat Electronics,"Ashwani Kumar Datt, Chairman and Ma-ging Director",India,997.7,916,9,1210.9,82.4
2011,65,Hewlett-Packard,"Lâ€šo Apotheker, President and CEO",U.S.,971.9,1751.1,-44,126033,0.8
2011,66,Diehl Stiftung,"Thomas Diehl, President and CEO",Germany,963.7,966.2,0,3617.5,26.6
2011,67,Fincantieri,"Giuseppe Bono, CEO",Italy,943,735.4,28,3817.8,24.7
2011,68,AAR,"David Storch, Chairman and CEO",U.S.,942.4,645,46,1775.8,53.1
2011,69,Chemring,"David Price, CEO",U.K.,929,778.1,19,929,100
2011,71,Ultra Electronics,"Rakesh Sharma, CEO",U.K.,878,815.4,8,1097.5,80
2011,72,CAE,"Marc Parent, President and CEO",Canada,850.9,742.7,15,1602.3,53.1
2011,73,LIG Nex1,"Hyo Koo-Lee, CEO",South Korea,811,763.5,6,811,100
2011,74,RUAG,"Lukas Braunshweiler, CEO",Switzerland,810.2,844.9,-4,1726,46.9
2011,75,Cubic,"Walter Zable, Chairman, President and CEO",U.S.,805.1,709.8,13,1194.2,67.4
2011,76,Meggitt,"Terry Twigger, CEO",U.K.,789,810.2,-3,1793.1,44
2011,77,Indra,"Javier MonzÂ¢n, Chairman",Spain,788.4,950.9,-17,3394.3,23.2
2011,78,Curtiss-Wright,"Martin Be-nte, Chairman and CEO",U.S.,784,759,3,1893,41.4
2011,79,Alion Science and Technology,"Bahman Atefi, Chairman and CEO",U.S.,771.8,735.3,5,834,92.5
2011,80,Aselsan,"Cengiz Ergeneman, General Ma-ger",Turkey,762.2,643.1,19,789.6,96.5
2011,81,Battelle,"Jeffrey Wadsworth, President and CEO",U.S.,753.2,737,2,6200,12.1
2011,82,Teledyne Technologies,"Robert Mehrabian, Chairman, President and CEO",U.S.,727.4,777.8,-6,1644.2,44.2
2011,83,Accenture,"Pierre -nterme, CEO",Ireland,725,453,60,21600,3.4
2011,84,FLIR,"Earl Lewis, Chairman and CEO",U.S.,706,655.3,8,1385,51
2011,85,SRC,"Paul Tremont, President",U.S.,691,471,47,701,98.6
2011,86,VSE,"Maurice Gauthier, President and CEO",U.S.,675.4,840.3,-20,866,78
2011,87,Embraer,"Frederico Fleury Curado, President and CEO",Brazil,667,480.4,39,5312.5,12.6
2011,88,SRA Inter-tio-l,"Stanton Sloane, President and CEO",U.S.,661,559.9,18,1666.6,39.7
2011,89,Patria,"Heikki Allonen, CEO",Finland,658.4,662,-1,748.7,87.9
2011,90,Deloitte,"Barry Salzberg, CEO",U.S.,657.4,176.5,272,10900,6
2011,91,Force Protection,"Michael Moody, Chairman and CEO",U.S.,656,977.1,-33,656,100
2011,92,ARINC,"John Belcher, Chairman and CEO",U.S.,649.8,833.5,-22,1083.2,60
2011,93,Day & Zimmermann,"Harold Yoh, Chairman and CEO",U.S.,647.7,637,2,2382,27.2
2011,95,#NAME?,"Edgar Fossheim, CEO",Norway,570.9,513.8,11,570.9,100
2011,96,Wyle,"George Melton, Chairman, CEO and President",U.S.,563.5,390.8,44,924.1,61
2011,97,M.C. Dean,"Bill Dean, President and CEO",U.S.,548.2,445,23,820.1,66.8
2011,98,Israel Military Industries,"Avi Felder, President and CEO",Israel,508.6,465,9,508.6,100
2011,99,Fujitsu,"Masami Yamamoto, President (Representative Director)",Japan,503.8,533.4,-6,52937.1,1
2010,1,Lockheed Martin,"Robert Stevens, Chairman and CEO,",U.S.,42025.7,39739.8,6,45189,93
2010,2,BAE Systems,"Ian King, CEO",U.K.,33418.8,32708.7,2,35094.1,95.2
2010,3,Boeing,"W. James McNerney, Chairman, President and CEO,",U.S.,31932,31082,3,68281,45.9
2010,4,Northrop Grumman,"Wes Bush, President and CEO,",U.S.,30656.9,26579,15,33755,90.8
2010,5,General Dynamics,"Jay Johnson, Chairman and CEO,",U.S.,25904.6,22854,13,31981,81
2010,6,Raytheon Company,"William Swanson, Chairman and CEO",U.S.,23139.3,21551.8,7,24881,93
2010,7,EADS,"Louis Gallois, CEO",Netherlands,15013.7,16208.4,-7,59711.8,25.1
2010,8,Finmeccanica,"Pierfrancesso GuarguafliniI, Chairman and CEO",Italy,13332.1,10219.5,30,24345.2,52.6
2010,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",U.S.,13014,12159,7,15615,83.3
2010,10,United Technologies,"Louis Chenevert, Chairman and CEO",U.S.,11100,9975.8,11,52920,21
2010,11,SAIC,"Walt Havenstein, CEO",U.S.,8400,7661,10,10846,77.4
2010,12,Thales,"Luc Vigneron, Chairman and CEO",France,8032,7944.1,1,17988.1,44.7
2010,13,ITT,"Steven Loranger, Chairman, President and CEO",U.S.,6097.5,6094.1,0,10904.5,55.9
2010,14,KBR,"William Utt, Chairman, President and CEO",U.S.,5410.2,6674.4,-19,12105,44.7
2010,15,Honeywell,"David Cote, Chairman and CEO",U.S.,5382,5313,1,30908,17.4
2010,16,Booz Allen Hamilton,"Ralph Shrader, Chairman and CEO",U.S.,4299,3575,20,5100,84.3
2010,17,CSC,"Michael Laphen, Chairman, President and CEO",U.S.,4203.3,3800,11,16739.9,25
2010,18,GE Aviation,"David Joyce, President and CEO",U.S.,4200,4200,0,18700,22.5
2010,19,URS,"Martin Koffel, CEO",U.S.,3483.3,3370,3,9249.1,37.7
2010,20,DCNS,"Patrick Boissier, Chairman and CEO",France,3355,3686.3,-9,3355,100
2010,21,Textron,"Scott Donnelly, President and CEO",U.S.,3300,3400,-3,10500,31.4
2010,22,Almaz-Antei,"Vladislav Menshikov, Director",Russia,3263,4335.2,-25,3666.3,89
2010,23,Rolls-Royce,"Sir John Rose, CEO",U.K.,3146.9,3131,1,16304.7,19.3
2010,24,Safran,"Jean-Paul Herteman, PrÃ©sident du directoire",France,3067.7,3037.9,1,14569,21.1
2010,25,Navistar Defense,"Daniel Ustian, Chairman, President and CEO",U.S.,2885,4000,-28,11569,24.9
2010,26,Mitsubishi Heavy Industries,"Hideaki Omiya, President",Japan,2833.1,3138.2,-10,26684.3,10.6
2010,27,ATK,"Mark DeYoung, President and CEO",U.S.,2740,2850,-4,4807.7,57
2010,28,Elbit Systems,"Joseph Ackerman, President and CEO",Israel,2690.8,2506.1,7,2832.4,95
2010,29,Harris,"Howard Lance, Chairman, President and CEO",U.S.,2686.7,2465.7,9,5000,53.7
2010,30,Rheinmetall,"Klaus Eberhardt, CEO",Germany,2646.6,2668.7,-1,4768.9,55.5
2010,31,Oshkosh,"Robert Bohn, Chairman and CEO",U.S.,2594.8,1891.9,37,5695.2,45.6
2010,32,Rockwell Collins,"Clay Jones, Chairman, President and CEO",U.S.,2579,2366,9,4470,57.7
2010,33,DynCorp International,"William Ballhaus, President and CEO",U.S.,2381.9,1850.9,29,3585.3,66.4
2010,34,Bechtel,"Riley Bechtel, Chairman and CEO",U.S.,2297.5,2202.9,4,30800,7.5
2010,35,Cobham,"Andy Stevens, CEO",U.K.,2266.4,1630.2,39,2944,77
2010,36,Israel Aerospace Industries,"Itzhak Nissan, President and CEO",Israel,2234,2203,1,2881,77.5
2010,37,Babcock International Group,"Peter Rogers, CEO",U.K.,2138.7,2117.2,1,3016.1,70.9
2010,38,CACI International,"Paul Cofoni, President and CEO",U.S.,2078.3,1807.5,15,2730.2,76.1
2010,39,Saab,"Hakan Buskhe, President and CEO (as of 9/1)",Sweden,2014.6,2957.4,-32,2424.9,83.1
2010,40,Goodrich,"Marshall Larsen, Chairman, President and CEO",U.S.,2005.8,1794,12,6686,30
2010,41,Hindustan Aeronautics,"Ashok Nayak, Chairman",India,1999.5,1641.2,22,2182.1,91.6
2010,42,Mitsubishi Electric,"Kenichiro Yamanishi, President and CEO",Japan,1968.8,1555.1,27,36135.2,5.4
2010,43,ManTech International,"George Pedersen, Chairman and CEO",U.S.,1919.3,1754.9,9,2020.3,95
2010,44,QinetiQ Group,"Leo Quinn, CEO",U.K.,1795.4,2032.3,-12,2599.4,69.1
2010,45,Hewlett-Packard,"Mark Hurd, Chairman, President and CEO",U.S.,1751.1,2027.1,-14,114552,1.5
2010,46,Krauss-Maffei Wegmann,"Frank Haun, President and CEO",Germany,1722.1,2059.2,-16,1722.1,100
2010,47,Rafael Advanced Defense Systems Ltd.,"Yedidia Yaari, President and CEO",Israel,1607,1528,5,1607,100
2010,48,Serco,"Edward Casey, Chairman and CEO",U.K.,1597,1446.6,10,6215.6,25.7
2010,49,Aviation Holding Co. Sukhoi,"Mikhail Pogosyan, Director",Russia,1522,2039.2,-25,1640,92.8
2010,50,Singapore Technologies Engineering Ltd,"Tan Pheng Hock, President and CEO",Singapore,1451.3,1247.9,16,3819.3,38
2010,51,Samsung Techwin,"ChangSuk Oh, President and CEO",South Korea,1374,746.5,84,3085.7,44.5
2010,53,Dassault Aviation,"Charles Edelstenne, Chairman and CEO",France,1366.5,2118.4,-35,4770.3,28.6
2010,54,Nexter,"Luc Vigneron, Chairman and CEO",France,1236.9,766,61,1236.9,100
2010,55,Kawasaki Heavy Industries,"Satoshi Hasegawa, President",Japan,1123.9,1529.1,-26,12645.9,8.9
2010,56,Irkut,"Oleg Demchenko, Director",Russia,1103.7,1149.8,-4,1161.8,95
2010,57,Kongsberg,"Walter Qvam, CEO",Norway,1059.8,755.3,40,2208.2,48
2010,58,GKN,"Marcus Bryson, CEO",U.K.,1052.1,1077.7,-2,6575.8,16
2010,59,Force Protection,"Michael Moody, Chairman, President and CEO",U.S.,977.1,1326.3,-26,977.1,100
2010,60,Jacobs Engineering,"Craig Martin, President and CEO",U.S.,971.7,1008,-4,11467.4,8.5
2010,61,Indra,"Javier MonzÃ³n, Chairman",Spain,950.9,1005.9,-5,3504.5,27.1
2010,62,Bharat Electronics,"Ashwani Kumar Datt, Chairman and Managing Director",India,916,855,7,1101.2,83.2
2010,63,Tactical Missiles,"Boris Obnosov, Director",Russia,910.9,1152.6,-21,990.1,92
2010,64,Fluor,"Alan Boeckmann, Chairman and CEO",U.S.,871.5,777.7,12,21990.3,4
2010,65,Ruag,"Lukas Braunschweiler, CEO",Switzerland,844.9,778.9,8,1566.1,54
2010,66,VSE,"Maurice Gauthier, Presdient and CEO",U.S.,840.3,831.7,1,1014.6,82.8
2010,67,ARINC,"John Belcher, Chairman and CEO",U.S.,833.5,702.8,19,1243.9,67
2010,68,Ultra Electronics Holdings,"Douglas Caster, CEO",U.K.,815.4,736,11,1019.2,80
2010,69,Russian Helicopters,"Andrei Shibitov, Director",Russia,813.8,845.1,-4,1820.5,44.7
2010,70,Meggitt,"Terry Twigger, CEO",U.K.,810.2,839.1,-3,1800.5,45
2010,71,Uralvagonzavod,"Oleg Siyenko, Director",Russia,801.5,646.8,24,1144,70.1
2010,72,NEC,"Nobuhiro Endo, President (Representive Director)",Japan,778.6,981.4,-21,38613.3,2
2010,73,Chemring,"David Price, CEO",U.K.,778.1,688.1,13,785.9,100
2010,74,Teledyne Technologies,"Robert Mehrabian, Chairman, President and CEO",U.S.,777.8,754.5,3,1765.2,44.1
2010,76,Curtiss-Wright,"Martin Benante, Chairman and CEO",U.S.,759,663,14,1810,41.9
2010,77,CAE,"Marc Parent, President and CEO",Canada,742.7,649.4,14,1401.8,53
2010,78,Alion Science and Technology,"Bahman Atefi, Chairman and CEO",U.S.,737.2,660.4,12,802.2,91.9
2010,79,Battelle,"Jeffrey Wadsworth, President and CEO",U.S.,737,794,-7,5600,13.2
2010,80,Fincantieri,"Giuseppe Bono, CEO",Italy,735.4,584.5,26,4558.9,16.1
2010,81,Agility,"Tarek Sultan, Chairman and Managing Director",Kuwait,715.5,2200,-67,1705.4,42
2010,82,Cubic,"Walter Zable, Chairman",U.S.,709.8,607.8,17,1016.7,69.8
2010,83,Diehl Stiftung,"Thomas Diehl, President and CEO",Germany,690,911.3,-24,2928.3,23.6
2010,84,Patria,"Heikki Allonen, President and CEO",Finland,662,676.4,-2,752.3,88
2010,85,FLIR,"Earl Lewis, Chairman, President and CEO",U.S.,655.3,600,9,1147.1,57.1
2010,86,Aselsan,"Cengiz Ergeneman, General Manager",Turkey,643.1,515.3,25,669.3,96.1
2010,87,Day & Zimmermann,"Harold Yoh, Chairman and CEO",U.S.,637,548.3,16,2100,30.3
2010,88,Korea Aerospace Industries,"Hong Kyung, Kim, President and CEO",South Korea,622.2,584.5,6,856.5,72.6
2010,89,AAR,"David Storch, Chairman and CEO",U.S.,614.1,518.8,18,1424,43.1
2010,90,SRA International,"Stanton Sloane, President and CEO",U.S.,559.9,669.1,-16,1540.7,36.3
2010,91,Sevmash,"Nikolai Kalistratov, Director",Russia,534.4,432.4,24,668,80
2010,92,Fujitsu,"Masami Yamamoto, President and Representative Director",Japan,533.4,442.7,20,5028.2,10.6
2010,93,Nammo,"Edgar Fossheim, President and CEO",Norway,513.8,466,10,549.6,93.5
2010,94,MMPP Salyut,"Yury Yeliseyev, Director",Russia,494.7,444.2,11,521.3,94.9
2010,95,Embraer,"Frederico Fleury Curado, President and CEO",Brazil,480.4,530.1,-9,5474.4,8.8
2010,96,SRC/SRCTec,"Robert Roberts, President and CEO",U.S.,471,348.1,35,483,97.5
2010,97,Israel Military Industries,"Avi Felder, President and CEO",Israel,465,660,-30,500,93
2010,98,Accenture,"William Green, Chairman and CEO",Ireland,453,400,13,21580,2.1
2010,100,Hyundai Rotem,"Yeo-Sung Lee, Executive Vice Chairman and CEO",South Korea,407.9,415.2,-2,2149.5,19
